"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"5/5/2026","5/5/2026","5/6/2026","AMD","AMD 5/15/2026 Call $185.00","BTO","5","$3.45","($1,725.20)"
"5/5/2026","5/5/2026","5/6/2026","AMD","AMD 5/15/2026 Call $185.00","STC","5","$4.20","$2,099.40"
"5/5/2026","5/5/2026","5/6/2026","SPY","SPY 5/9/2026 Call $580.00","BTO","20","$2.10","($4,200.80)"
"5/4/2026","5/4/2026","5/5/2026","TSLA","TSLA 5/16/2026 Call $260.00","BTO","3","$5.75","($1,725.12)"
"5/4/2026","5/4/2026","5/5/2026","MSFT","MSFT 5/15/2026 Put $410.00","BTO","2","$4.50","($900.08)"
"5/4/2026","5/4/2026","5/5/2026","PLTR","PLTR 5/9/2026 Call $28.00","STC","50","$1.10","$5,497.50"
"5/1/2026","5/1/2026","5/4/2026","PLTR","PLTR 5/9/2026 Call $28.00","BTO","50","$0.85","($4,252.00)"
"5/1/2026","5/1/2026","5/4/2026","COIN","COIN 5/15/2026 Call $235.00","BTO","4","$7.20","($2,880.16)"
"5/1/2026","5/1/2026","5/4/2026","SOFI","SOFI 6/19/2026 Call $14.00","BTO","100","$0.42","($4,204.00)"
"5/1/2026","5/1/2026","5/4/2026","DIS","DIS 5/15/2026 Call $115.00","STC","8","$2.30","$1,839.65"
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity."
